step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
56,-93.45121696902788,-94.56406342022723,-1477.346923828125,0.9666632413864136,56,0.4999987483024597,0.0001
88,-100.13284309295705,-94.56406342022723,-461.189697265625,0.6144253611564636,32,0.49999693036079407,0.0001
166,-92.4803205614553,-94.56406342022723,-1995.5416259765625,0.6705676913261414,78,0.4999891221523285,0.0001
378,-86.86928828424425,-94.56406342022723,-11252.205078125,0.3127092719078064,212,0.4999435842037201,0.0001
414,-96.7791023059981,-94.56406342022723,-681.0321044921875,1.382515788078308,36,0.49993234872817993,0.0001
546,-91.41506869049499,-94.56406342022723,-4655.22216796875,0.4119608402252197,132,0.499882310628891,0.0001
578,-96.97189827018883,-94.56406342022723,-541.2437133789062,1.5604922771453857,32,0.49986812472343445,0.0001
600,-97.54959548736224,-94.56406342022723,-235.4794921875,2.229490041732788,22,0.49985790252685547,0.0001
635,-97.5699896351507,-94.56406342022723,-266.3764343261719,0.43625444173812866,35,0.4998408257961273,0.0001
671,-97.24812261400803,-94.56406342022723,-354.269775390625,0.40594449639320374,36,0.4998222887516022,0.0001
750,-93.5979849787982,-94.56406342022723,-1839.21240234375,0.3272269368171692,79,0.49977797269821167,0.0001
1055,-90.13503376546396,-94.56406342022723,-14493.453125,0.1566312611103058,305,0.49956074357032776,0.0001
1082,-100.10072227688215,-94.56406342022723,-326.89556884765625,1.1085134744644165,27,0.49953800439834595,0.0001
1117,-96.59822647182591,-94.56406342022723,-298.5290832519531,0.3446482717990875,35,0.4995076358318329,0.0001
1141,-98.70315939149441,-94.56406342022723,-142.74176025390625,0.3584488332271576,24,0.4994862675666809,0.0001
1329,-97.44845040493783,-94.56406342022723,-9481.4375,0.45374396443367004,188,0.4993031322956085,0.0001
1366,-98.09107571502682,-94.56406342022723,-744.5961303710938,0.8764091730117798,37,0.49926379323005676,0.0001
1389,-97.68542068073293,-94.56406342022723,-288.2467041015625,1.3387483358383179,23,0.4992388188838959,0.0001
1411,-100.09150880842935,-94.56406342022723,-230.86900329589844,1.2635085582733154,22,0.4992145299911499,0.0001
1442,-100.11131883771668,-94.56406342022723,-450.3414611816406,0.770953893661499,31,0.4991796612739563,0.0001
1469,-100.10658880812116,-94.56406342022723,-204.2971954345703,0.3626236319541931,27,0.4991486668586731,0.0001
1505,-97.29478789628774,-94.56406342022723,-772.78369140625,0.7146970629692078,36,0.4991064667701721,0.0001
1541,-97.51772958168294,-94.56406342022723,-448.80108642578125,0.33874550461769104,36,0.49906325340270996,0.0001
1803,-96.58348935197318,-94.56406342022723,-12191.517578125,0.253461629152298,262,0.4987179934978485,0.0001
1827,-97.24934637796832,-94.56406342022723,-227.68756103515625,1.031720757484436,24,0.4986836910247803,0.0001
2053,-88.77431956937016,-94.56406342022723,-10163.265625,0.21817900240421295,226,0.49833837151527405,0.0001
2088,-100.15772319753887,-94.56406342022723,-418.7927551269531,0.33705341815948486,35,0.4982813000679016,0.0001
2139,-95.83648664242355,-94.56406342022723,-494.48773193359375,0.2561725676059723,51,0.49819645285606384,0.0001
2166,-100.09743905678624,-94.56406342022723,-292.4664611816406,0.6083543300628662,27,0.49815070629119873,0.0001
