step,training reward,validation reward,loss policy,loss critic,epsisode length,sigma,lr_policy
59,-100.2280707110549,-62.255910498581216,-2430.583740234375,2.772089719772339,59,0.5,0.0001
91,-100.1513401872362,-62.255910498581216,-927.61376953125,2.7782561779022217,32,0.4999999701976776,0.0001
128,-100.13023637828155,-62.255910498581216,-1084.177490234375,4.97509765625,37,0.4999999403953552,0.0001
164,-96.79914021708828,-62.255910498581216,-460.0406799316406,1.8431087732315063,36,0.49999988079071045,0.0001
216,-100.21177379228902,-62.255910498581216,-1737.4486083984375,2.428385019302368,52,0.4999998211860657,0.0001
259,-94.35451513619046,-62.255910498581216,-1682.072021484375,3.194744348526001,43,0.4999997317790985,0.0001
315,-94.52061548680649,-62.255910498581216,-1718.723876953125,2.6061012744903564,56,0.49999961256980896,0.0001
366,-94.07713355916167,-62.255910498581216,-1705.314453125,2.216933250427246,51,0.499999463558197,0.0001
398,-97.05128375909408,-62.255910498581216,-780.7847290039062,4.738126754760742,32,0.49999937415122986,0.0001
435,-97.61966762104203,-62.255910498581216,-908.8983764648438,2.288614511489868,37,0.4999992549419403,0.0001
468,-97.15080374846002,-62.255910498581216,-1087.3690185546875,4.809732913970947,33,0.49999913573265076,0.0001
530,-100.284803715811,-62.255910498581216,-2758.62255859375,1.844414234161377,62,0.49999889731407166,0.0001
620,-100.38613986715245,-62.255910498581216,-4111.3623046875,1.3876475095748901,90,0.4999984800815582,0.0001
658,-100.1447740244621,-62.255910498581216,-764.8220825195312,2.2599070072174072,38,0.4999983012676239,0.0001
708,-100.2041872908303,-62.255910498581216,-1971.908203125,3.2792043685913086,50,0.4999980330467224,0.0001
750,-100.13689752179198,-62.255910498581216,-963.9384155273438,1.6912782192230225,42,0.4999977648258209,0.0001
787,-95.83740485964518,-62.255910498581216,-1597.37744140625,3.5593137741088867,37,0.4999975562095642,0.0001
864,-93.3193609969785,-62.255910498581216,-2353.802001953125,1.064318060874939,77,0.4999970495700836,0.0001
928,-100.25073823691491,-62.255910498581216,-2140.195068359375,2.057156801223755,64,0.4999966025352478,0.0001
962,-100.15439098564093,-62.255910498581216,-695.5921630859375,4.380987644195557,34,0.4999963343143463,0.0001
988,-100.11236429799465,-62.255910498581216,-567.581787109375,2.4827749729156494,26,0.499996155500412,0.0001
1018,-100.12558360806361,-62.255910498581216,-656.7034912109375,2.035841941833496,30,0.4999959170818329,0.0001
